,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
28,2123554,469292,29,,[],14.0,1534.0,"(101, 321, 508, 519, 526, 504, 689, 516, 117, 60, 326, 301, 19, 545, 5)",117.0,326.0,77.0
29,2123554,469292,30,,[],52.0,1586.0,"(301, 321, 545, 519, 526, 504, 308, 516, 117, 60, 326, 101, 19, 508, 5)",308.0,516.0,14.0
30,2123554,469292,31,,"[(326, 19)]",34.0,1616.0,"(301, 5, 545, 757, 308, 516, 526, 504, 326, 279, 117, 101, 19, 508, 519)",308.0,516.0,60.0
31,2123554,469292,32,,[],51.0,1667.0,"(101, 5, 545, 519, 526, 308, 516, 362, 117, 326, 279, 301, 19, 508, 757)",308.0,516.0,80.0
32,2123554,469292,33,,"[(279, 117)]",86.0,1749.0,"(101, 5, 508, 757, 308, 516, 19, 412, 362, 355, 279, 301, 117, 545, 519)",355.0,308.0,5.0
33,2123554,469292,34,freehit,[],145.0,1894.0,"(263, 5, 313, 792, 19, 308, 226, 775, 14, 232, 85, 569, 485, 377, 260)",226.0,308.0,5.0
34,2123554,469292,35,,[],62.0,1952.0,"(101, 5, 377, 545, 19, 308, 516, 362, 412, 355, 617, 301, 279, 757, 508)",362.0,516.0,12.0
35,2123554,469292,36,,[],100.0,2052.0,"(101, 5, 377, 508, 19, 308, 516, 362, 412, 355, 617, 301, 279, 757, 545)",362.0,516.0,12.0
36,2123554,469292,37,3xc,[],128.0,2176.0,"(101, 5, 377, 616, 19, 353, 516, 362, 412, 355, 415, 301, 617, 545, 508)",355.0,412.0,9.0
37,2123554,469292,38,bboost,"[(617, 19), (545, 412)]",74.0,2250.0,"(101, 377, 5, 616, 545, 353, 516, 362, 617, 355, 415, 614, 19, 412, 508)",355.0,353.0,1.0
38,2123554,5385606,1,,"[(398, 368), (304, 538)]",63.0,63.0,"(597, 5, 398, 430, 14, 396, 344, 19, 304, 523, 355, 263, 368, 538, 131)",355.0,368.0,0.0
39,2123554,5385606,2,,"[(511, 344)]",48.0,111.0,"(597, 5, 131, 398, 511, 304, 14, 396, 19, 523, 355, 263, 538, 344, 430)",355.0,131.0,10.0
40,2123554,5385606,3,wildcard,[],54.0,165.0,"(352, 131, 42, 195, 143, 19, 664, 396, 516, 211, 355, 524, 119, 511, 36)",355.0,396.0,2.0
41,2123554,5385606,4,,[],96.0,261.0,"(524, 131, 511, 195, 143, 19, 664, 396, 516, 211, 355, 352, 119, 42, 36)",355.0,396.0,2.0
42,2123554,5385606,5,,[],42.0,303.0,"(524, 36, 511, 195, 42, 19, 664, 396, 516, 211, 355, 352, 119, 143, 131)",355.0,396.0,2.0
43,2123554,5385606,6,,[],67.0,370.0,"(352, 131, 511, 195, 42, 143, 19, 308, 119, 211, 355, 524, 664, 540, 36)",355.0,308.0,2.0
44,2123554,5385606,7,,[],35.0,405.0,"(352, 131, 36, 42, 143, 19, 308, 664, 119, 343, 355, 524, 540, 195, 511)",355.0,308.0,2.0
45,2123554,5385606,8,,"[(511, 131), (540, 19)]",46.0,451.0,"(352, 36, 511, 42, 308, 664, 143, 540, 343, 355, 119, 524, 19, 195, 131)",355.0,308.0,2.0
46,2123554,5385606,9,,"[(524, 352)]",87.0,534.0,"(524, 36, 511, 407, 308, 664, 540, 504, 343, 355, 119, 352, 143, 20, 42)",504.0,308.0,14.0
47,2123554,5385606,10,,[],65.0,595.0,"(524, 42, 36, 511, 20, 504, 308, 664, 60, 343, 355, 352, 143, 403, 407)",308.0,504.0,1.0
48,2123554,5385606,11,,[],17.0,612.0,"(352, 42, 36, 511, 20, 143, 308, 664, 60, 343, 355, 524, 504, 403, 407)",355.0,143.0,1.0
49,2123554,5385606,12,,"[(36, 511)]",70.0,682.0,"(352, 36, 20, 42, 308, 664, 143, 504, 343, 355, 60, 524, 511, 403, 407)",504.0,143.0,1.0
50,2123554,5385606,13,,"[(36, 511)]",31.0,713.0,"(352, 36, 20, 42, 308, 664, 143, 504, 343, 355, 60, 524, 511, 403, 407)",504.0,143.0,1.0
51,2123554,5385606,14,,[],44.0,757.0,"(352, 42, 311, 20, 36, 308, 664, 216, 355, 60, 343, 524, 143, 403, 511)",308.0,60.0,9.0
52,2123554,5385606,15,,"[(143, 36), (511, 311)]",46.0,803.0,"(352, 20, 511, 42, 143, 308, 664, 216, 343, 355, 60, 524, 36, 403, 311)",308.0,60.0,9.0
53,2123554,5385606,16,,"[(143, 355)]",35.0,838.0,"(352, 36, 20, 311, 308, 664, 199, 216, 143, 343, 60, 524, 355, 42, 511)",355.0,60.0,4.0
54,2123554,5385606,17,,[],49.0,887.0,"(352, 20, 311, 36, 511, 199, 308, 664, 216, 60, 343, 524, 143, 42, 355)",343.0,60.0,4.0
55,2123554,5385606,18,,"[(664, 199)]",39.0,926.0,"(524, 36, 511, 20, 311, 42, 308, 664, 143, 216, 60, 352, 343, 199, 355)",60.0,308.0,4.0
56,2123554,5385606,19,,"[(664, 511)]",25.0,951.0,"(352, 20, 311, 42, 664, 308, 362, 216, 343, 355, 60, 524, 36, 199, 511)",352.0,308.0,13.0
57,2123554,5385606,20,,"[(199, 511), (664, 216)]",65.0,1016.0,"(352, 20, 311, 42, 199, 308, 362, 664, 343, 355, 60, 524, 36, 511, 216)",352.0,308.0,13.0
58,2123554,5385606,21,,"[(36, 311), (199, 42), (664, 308)]",40.0,1056.0,"(352, 511, 20, 36, 199, 664, 362, 216, 343, 355, 60, 524, 311, 42, 308)",352.0,308.0,13.0
59,2123554,5385606,22,,"[(36, 311), (199, 42), (664, 308)]",42.0,1098.0,"(352, 511, 20, 36, 199, 664, 362, 216, 343, 355, 60, 524, 311, 42, 308)",352.0,308.0,13.0
60,2123554,5385606,23,,"[(36, 311), (199, 42), (664, 308)]",46.0,1144.0,"(352, 511, 20, 36, 199, 664, 362, 216, 343, 355, 60, 524, 311, 42, 308)",352.0,308.0,13.0
61,2123554,5385606,24,,"[(36, 308)]",58.0,1202.0,"(352, 511, 20, 311, 42, 36, 362, 216, 343, 355, 60, 524, 308, 199, 664)",352.0,308.0,13.0
62,2123554,5385606,25,,"[(36, 311)]",83.0,1285.0,"(352, 511, 20, 36, 42, 308, 362, 216, 343, 355, 60, 524, 311, 199, 664)",352.0,308.0,13.0
63,2123554,5385606,26,,"[(36, 511), (664, 311)]",39.0,1324.0,"(352, 36, 20, 42, 664, 308, 362, 216, 343, 355, 60, 524, 511, 199, 311)",352.0,308.0,13.0
64,2123554,5385606,27,,"[(36, 308)]",58.0,1382.0,"(352, 511, 20, 311, 42, 36, 362, 216, 343, 355, 60, 524, 308, 199, 664)",352.0,308.0,13.0
65,2123554,5385606,28,,"[(36, 311)]",31.0,1413.0,"(352, 511, 20, 36, 42, 308, 362, 216, 343, 355, 60, 524, 311, 199, 664)",352.0,308.0,13.0
66,2123554,5385606,29,,"[(524, 352), (36, 20), (664, 311)]",9.0,1422.0,"(524, 511, 36, 42, 664, 308, 362, 216, 343, 355, 60, 352, 20, 199, 311)",352.0,308.0,13.0
67,2123554,5385606,30,,"[(524, 352), (199, 311), (664, 343)]",51.0,1473.0,"(524, 511, 20, 42, 199, 308, 362, 216, 664, 355, 60, 352, 36, 311, 343)",352.0,308.0,13.0
68,2123554,5385606,31,,"[(199, 311), (664, 355)]",39.0,1512.0,"(352, 511, 20, 42, 199, 308, 362, 216, 664, 343, 60, 524, 36, 311, 355)",352.0,308.0,13.0
69,2123554,5385606,32,,"[(199, 311), (664, 216)]",64.0,1576.0,"(352, 511, 20, 42, 199, 308, 362, 664, 343, 355, 60, 524, 36, 311, 216)",352.0,308.0,13.0
70,2123554,5385606,33,,"[(664, 311)]",68.0,1644.0,"(352, 511, 20, 42, 664, 308, 362, 216, 343, 355, 60, 524, 36, 199, 311)",352.0,308.0,13.0
71,2123554,5385606,34,,"[(36, 511), (199, 362), (664, 355)]",55.0,1699.0,"(352, 36, 20, 311, 42, 308, 199, 216, 664, 343, 60, 524, 511, 362, 355)",352.0,308.0,13.0
72,2123554,5385606,35,,"[(36, 311), (664, 216)]",35.0,1734.0,"(352, 511, 20, 36, 42, 308, 362, 664, 343, 355, 60, 524, 311, 199, 216)",352.0,308.0,13.0
73,2123554,5385606,36,,"[(36, 311), (664, 216)]",63.0,1797.0,"(352, 511, 20, 36, 42, 308, 362, 664, 343, 355, 60, 524, 311, 199, 216)",352.0,308.0,13.0
74,2123554,5385606,37,,"[(664, 311)]",94.0,1891.0,"(352, 511, 20, 42, 664, 308, 362, 216, 343, 355, 60, 524, 36, 199, 311)",352.0,308.0,13.0
75,2123554,5385606,38,,"[(524, 352), (664, 311)]",44.0,1935.0,"(524, 511, 20, 42, 664, 308, 362, 216, 343, 355, 60, 352, 36, 199, 311)",352.0,308.0,13.0
76,2123554,9239653,1,,,,,,,,
77,2123554,9239653,2,,,,,,,,
78,2123554,9239653,3,,"[(623, 346)]",50.0,50.0,"(352, 131, 307, 342, 20, 14, 216, 19, 308, 623, 415, 77, 346, 34, 119)",308.0,415.0,19.0
79,2123554,9239653,4,,[],59.0,101.0,"(352, 511, 307, 342, 20, 369, 14, 308, 19, 216, 415, 77, 623, 34, 119)",308.0,415.0,33.0
80,2123554,9239653,5,,[],56.0,157.0,"(352, 511, 307, 342, 20, 369, 14, 308, 19, 216, 211, 77, 623, 34, 119)",308.0,211.0,37.0
81,2123554,9239653,6,,[],56.0,213.0,"(352, 511, 307, 342, 20, 369, 14, 308, 19, 216, 211, 77, 623, 34, 119)",308.0,211.0,37.0
82,2123554,9239653,7,,[],43.0,256.0,"(352, 511, 307, 342, 20, 369, 14, 308, 19, 216, 415, 77, 623, 34, 119)",308.0,415.0,31.0
83,2123554,9239653,8,,"[(34, 19)]",84.0,340.0,"(352, 511, 307, 342, 20, 369, 14, 216, 34, 308, 415, 77, 623, 19, 119)",308.0,415.0,31.0
84,2123554,9239653,9,,"[(77, 352), (34, 307)]",62.0,402.0,"(77, 511, 342, 20, 369, 34, 14, 216, 19, 308, 415, 352, 623, 307, 119)",308.0,415.0,31.0
85,2123554,9239653,10,,"[(34, 307), (119, 342)]",56.0,458.0,"(352, 511, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 307, 342)",308.0,415.0,31.0
86,2123554,9239653,11,,"[(34, 307), (119, 14)]",25.0,483.0,"(352, 511, 342, 20, 369, 34, 216, 19, 308, 119, 415, 77, 623, 307, 14)",308.0,415.0,31.0
87,2123554,9239653,12,,"[(34, 511), (119, 307)]",59.0,542.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
88,2123554,9239653,13,,"[(34, 511), (119, 307)]",55.0,597.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
89,2123554,9239653,14,,"[(34, 511), (119, 307)]",45.0,642.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
90,2123554,9239653,15,,"[(34, 307), (119, 342)]",45.0,687.0,"(352, 511, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 307, 342)",308.0,415.0,31.0
91,2123554,9239653,16,,"[(34, 307)]",46.0,733.0,"(352, 511, 342, 20, 369, 34, 14, 216, 19, 308, 415, 77, 623, 307, 119)",308.0,415.0,31.0
92,2123554,9239653,17,,"[(34, 307), (119, 415)]",39.0,772.0,"(352, 511, 342, 20, 369, 34, 14, 216, 19, 308, 119, 77, 623, 307, 415)",308.0,415.0,31.0
93,2123554,9239653,18,,"[(77, 352), (34, 307)]",34.0,806.0,"(77, 511, 342, 20, 369, 34, 14, 216, 19, 308, 415, 352, 623, 307, 119)",308.0,415.0,31.0
94,2123554,9239653,19,,"[(34, 511), (119, 307)]",36.0,842.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
95,2123554,9239653,20,,"[(34, 511), (119, 307)]",75.0,917.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
96,2123554,9239653,21,,"[(34, 307)]",42.0,959.0,"(352, 511, 342, 20, 369, 34, 14, 216, 19, 308, 415, 77, 623, 307, 119)",308.0,415.0,31.0
97,2123554,9239653,22,,"[(34, 369)]",27.0,986.0,"(352, 511, 307, 342, 20, 34, 14, 216, 19, 308, 415, 77, 623, 369, 119)",308.0,415.0,31.0
98,2123554,9239653,23,,"[(34, 308)]",28.0,1014.0,"(352, 511, 307, 342, 20, 369, 14, 216, 19, 34, 415, 77, 623, 308, 119)",308.0,415.0,31.0
99,2123554,9239653,24,,"[(34, 308)]",66.0,1080.0,"(352, 511, 307, 342, 20, 369, 14, 216, 19, 34, 415, 77, 623, 308, 119)",308.0,415.0,31.0
100,2123554,9239653,25,,"[(119, 415)]",99.0,1179.0,"(352, 511, 307, 342, 20, 369, 14, 216, 19, 308, 119, 77, 623, 34, 415)",308.0,415.0,31.0
101,2123554,9239653,26,,"[(34, 511), (119, 307)]",50.0,1229.0,"(352, 342, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 511, 307)",308.0,415.0,31.0
102,2123554,9239653,27,,"[(34, 308)]",60.0,1289.0,"(352, 511, 307, 342, 20, 369, 14, 216, 19, 34, 415, 77, 623, 308, 119)",308.0,415.0,31.0
103,2123554,9239653,28,,[],28.0,1317.0,"(352, 511, 307, 342, 20, 369, 14, 308, 19, 216, 415, 77, 623, 34, 119)",308.0,415.0,31.0
104,2123554,9239653,29,,"[(34, 307), (119, 342)]",5.0,1322.0,"(352, 511, 20, 369, 34, 14, 216, 19, 308, 119, 415, 77, 623, 307, 342)",308.0,415.0,31.0
105,2123554,9239653,30,,"[(77, 352), (34, 307), (119, 369)]",55.0,1377.0,"(77, 511, 342, 20, 34, 14, 216, 19, 308, 119, 415, 352, 623, 307, 369)",308.0,415.0,31.0
106,2123554,9239653,31,,"[(77, 352), (34, 342), (119, 369)]",44.0,1421.0,"(77, 511, 307, 20, 34, 14, 216, 19, 308, 119, 415, 352, 623, 342, 369)",308.0,415.0,31.0
107,2123554,9239653,32,,"[(77, 352), (34, 342), (119, 369)]",53.0,1474.0,"(77, 511, 307, 20, 34, 14, 216, 19, 308, 119, 415, 352, 623, 342, 369)",308.0,415.0,31.0
108,2123554,9239653,33,,"[(34, 342), (119, 369)]",33.0,1507.0,"(352, 511, 307, 20, 34, 14, 216, 19, 308, 119, 415, 77, 623, 342, 369)",308.0,415.0,31.0
109,2123554,9239653,34,,"[(34, 511)]",95.0,1602.0,"(352, 307, 342, 20, 369, 34, 14, 216, 19, 308, 415, 77, 623, 511, 119)",308.0,415.0,31.0
110,2123554,9239653,35,,"[(34, 216)]",63.0,1665.0,"(352, 511, 307, 342, 20, 369, 14, 34, 19, 308, 415, 77, 623, 216, 119)",308.0,415.0,31.0
111,2123554,9239653,36,,"[(34, 216)]",73.0,1738.0,"(352, 511, 307, 342, 20, 369, 14, 34, 19, 308, 415, 77, 623, 216, 119)",308.0,415.0,31.0
112,2123554,9239653,37,,"[(34, 307)]",59.0,1797.0,"(352, 511, 342, 20, 369, 34, 14, 216, 19, 308, 415, 77, 623, 307, 119)",308.0,415.0,31.0
113,2123554,9239653,38,,"[(77, 352), (119, 19)]",75.0,1872.0,"(77, 511, 307, 342, 20, 369, 14, 216, 308, 119, 415, 352, 623, 34, 19)",308.0,415.0,31.0
114,2123554,3572734,1,,"[(474, 109)]",56.0,56.0,"(597, 474, 405, 29, 308, 349, 304, 376, 355, 297, 278, 472, 255, 144, 109)",355.0,308.0,0.0
115,2123554,3572734,2,,[],45.0,81.0,"(597, 131, 405, 195, 19, 304, 143, 308, 355, 60, 415, 472, 255, 144, 474)",355.0,308.0,5.0
116,2123554,3572734,3,freehit,[],45.0,126.0,"(275, 131, 611, 195, 19, 303, 143, 308, 355, 119, 415, 472, 255, 144, 474)",355.0,308.0,5.0
117,2123554,3572734,4,wildcard,[],68.0,194.0,"(275, 131, 20, 195, 19, 303, 143, 373, 14, 355, 523, 472, 255, 415, 474)",355.0,373.0,5.0
118,2123554,3572734,5,3xc,"[(474, 131), (132, 415)]",44.0,238.0,"(275, 474, 20, 195, 373, 19, 303, 143, 14, 355, 132, 472, 255, 415, 131)",355.0,373.0,6.0
119,2123554,3572734,6,,[],79.0,317.0,"(275, 131, 20, 195, 19, 526, 143, 373, 14, 355, 415, 472, 255, 132, 474)",355.0,373.0,12.0
120,2123554,3572734,7,bboost,[],48.0,365.0,"(275, 131, 20, 474, 19, 353, 143, 373, 14, 355, 415, 472, 255, 132, 195)",355.0,373.0,7.0
121,2123554,3572734,8,,[],44.0,401.0,"(275, 220, 20, 313, 526, 353, 143, 14, 373, 355, 415, 472, 255, 132, 474)",355.0,14.0,17.0
122,2123554,3572734,9,,[],58.0,451.0,"(275, 220, 20, 430, 526, 216, 143, 14, 516, 355, 415, 472, 255, 132, 474)",355.0,14.0,5.0
123,2123554,3572734,10,,[],69.0,516.0,"(275, 220, 20, 430, 526, 216, 143, 516, 19, 355, 343, 472, 255, 132, 474)",355.0,516.0,9.0
124,2123554,3572734,11,,[],45.0,561.0,"(275, 220, 20, 430, 526, 108, 143, 516, 19, 355, 343, 472, 255, 132, 474)",355.0,516.0,13.0
125,2123554,3572734,12,,[],69.0,630.0,"(275, 220, 20, 430, 526, 108, 143, 516, 19, 355, 60, 472, 255, 132, 474)",355.0,516.0,0.0
126,2123554,3572734,13,,"[(82, 526)]",57.0,675.0,"(275, 220, 419, 430, 43, 108, 308, 19, 82, 355, 60, 472, 255, 526, 474)",355.0,308.0,1.0
127,2123554,3572734,14,,[],67.0,742.0,"(275, 220, 419, 430, 678, 108, 43, 308, 19, 355, 60, 472, 255, 82, 474)",355.0,308.0,9.0
128,2123554,3572734,15,,[],33.0,775.0,"(275, 20, 419, 430, 108, 43, 308, 19, 355, 60, 82, 472, 255, 678, 474)",355.0,308.0,4.0
129,2123554,3572734,16,,[],44.0,819.0,"(275, 20, 419, 430, 43, 309, 308, 19, 355, 82, 60, 472, 255, 678, 474)",355.0,308.0,1.0
130,2123554,3572734,17,,[],45.0,860.0,"(275, 20, 419, 313, 557, 309, 308, 19, 355, 82, 60, 472, 255, 678, 474)",355.0,308.0,8.0
131,2123554,3572734,18,,"[(82, 355)]",30.0,890.0,"(275, 20, 419, 313, 557, 412, 309, 308, 19, 82, 60, 472, 255, 355, 474)",308.0,355.0,12.0
132,2123554,3572734,19,,"[(82, 355)]",39.0,929.0,"(275, 20, 519, 313, 557, 412, 309, 308, 19, 82, 60, 472, 255, 355, 474)",308.0,355.0,5.0
133,2123554,3572734,20,,[],61.0,966.0,"(275, 20, 245, 290, 308, 526, 19, 412, 516, 60, 85, 472, 255, 82, 474)",516.0,60.0,4.0
134,2123554,3572734,21,wildcard,"[(528, 290), (412, 501), (203, 355)]",32.0,998.0,"(275, 234, 528, 342, 203, 526, 362, 412, 19, 60, 85, 472, 290, 501, 355)",355.0,60.0,2.0
135,2123554,3572734,22,,[],43.0,1041.0,"(275, 342, 511, 234, 501, 526, 362, 19, 85, 60, 355, 472, 203, 412, 290)",355.0,60.0,0.0
136,2123554,3572734,23,,[],69.0,1110.0,"(275, 342, 511, 290, 509, 526, 362, 19, 85, 60, 355, 472, 203, 412, 234)",355.0,60.0,1.0
137,2123554,3572734,24,,[],89.0,1199.0,"(275, 342, 511, 290, 509, 134, 362, 19, 85, 60, 355, 472, 203, 412, 234)",355.0,60.0,16.0
138,2123554,3572734,25,,[],77.0,1276.0,"(275, 342, 511, 430, 509, 134, 362, 19, 60, 85, 355, 472, 203, 412, 234)",355.0,19.0,33.0
139,2123554,3572734,26,,"[(234, 511), (412, 362)]",54.0,1330.0,"(275, 234, 430, 342, 134, 412, 516, 19, 60, 355, 85, 472, 203, 362, 511)",355.0,19.0,8.0
140,2123554,3572734,27,,[],71.0,1401.0,"(275, 342, 29, 430, 516, 134, 362, 19, 60, 85, 355, 472, 203, 412, 234)",355.0,19.0,1.0
141,2123554,3572734,28,,[],46.0,1439.0,"(275, 342, 5, 203, 516, 412, 362, 19, 353, 60, 355, 472, 427, 234, 85)",355.0,19.0,2.0
142,2123554,3572734,29,,[],14.0,1445.0,"(275, 29, 5, 203, 43, 362, 353, 516, 19, 355, 60, 472, 427, 245, 85)",516.0,60.0,2.0
143,2123554,3572734,30,,[],61.0,1506.0,"(275, 29, 5, 203, 43, 362, 353, 516, 19, 355, 60, 472, 427, 245, 85)",516.0,60.0,2.0
144,2123554,3572734,31,,"[(203, 19), (245, 355)]",64.0,1570.0,"(275, 5, 427, 29, 203, 245, 353, 362, 516, 43, 85, 472, 19, 355, 60)",516.0,85.0,2.0
145,2123554,3572734,32,,"[(245, 353)]",55.0,1625.0,"(275, 5, 313, 29, 245, 362, 516, 43, 293, 355, 85, 472, 203, 353, 19)",355.0,362.0,2.0
146,2123554,3572734,33,,"[(203, 353)]",80.0,1705.0,"(275, 5, 313, 29, 203, 362, 516, 19, 293, 355, 85, 472, 353, 245, 43)",355.0,516.0,2.0
147,2123554,3572734,34,,"[(245, 362)]",96.0,1801.0,"(275, 5, 313, 29, 245, 353, 412, 19, 590, 355, 85, 472, 203, 362, 516)",355.0,362.0,17.0
148,2123554,3572734,35,,"[(355, 353)]",56.0,1853.0,"(275, 5, 220, 29, 362, 516, 412, 19, 355, 60, 85, 472, 353, 245, 203)",60.0,362.0,3.0
149,2123554,3572734,36,,[],102.0,1955.0,"(275, 29, 5, 220, 412, 362, 19, 516, 85, 355, 60, 472, 245, 353, 203)",355.0,362.0,3.0
150,2123554,3572734,37,,"[(60, 509)]",94.0,2049.0,"(275, 5, 203, 29, 362, 516, 412, 19, 60, 355, 415, 472, 509, 220, 245)",355.0,362.0,3.0
151,2123554,3572734,38,,"[(108, 412), (220, 19)]",45.0,2094.0,"(275, 5, 203, 29, 220, 362, 516, 108, 60, 355, 415, 472, 412, 19, 245)",355.0,362.0,3.0
152,2123554,4200644,1,,"[(51, 350)]",57.0,57.0,"(148, 51, 131, 5, 36, 143, 6, 396, 308, 19, 355, 28, 350, 538, 324)",19.0,355.0,0.0
153,2123554,4200644,2,,[],59.0,116.0,"(148, 36, 350, 131, 5, 143, 6, 396, 19, 308, 355, 28, 203, 538, 324)",308.0,355.0,4.0
154,2123554,4200644,3,,"[(28, 148), (36, 5)]",85.0,201.0,"(28, 203, 350, 131, 36, 143, 216, 396, 308, 19, 355, 148, 5, 538, 324)",355.0,216.0,8.0
155,2123554,4200644,4,,"[(28, 148)]",95.0,292.0,"(28, 203, 350, 131, 5, 108, 216, 516, 308, 19, 355, 148, 36, 538, 324)",355.0,216.0,5.0
156,2123554,4200644,5,,[],46.0,338.0,"(28, 203, 350, 36, 5, 108, 19, 308, 516, 216, 355, 148, 131, 538, 324)",516.0,355.0,5.0
